id,actual_amount,comment,original_amount,rating,reduce_amount,delevery_amount,promotion_id,user_addr,create_time,update_time
1,17.18,The product is not durable,41.2,2,24.02,11,73,18290 Red Cloud Drive,2023-09-05,2023-09-05
2,26.29,The product is a confidence-booster,51.49,4,25.2,8,94,26768 Jenna Avenue,2023-10-20,2023-10-20
3,14.43,The color is not as shown in the picture,45.13,3,30.7,11,90,25 Anniversary Hill,2023-02-17,2023-02-17
4,23.86,Would recommend to friends and family,55.98,4,32.12,16,62,7 Starling Court,2023-07-03,2023-07-03
5,10.49,The product is a party-starter,32.99,4,22.5,16,33,03589 Logan Circle,2023-06-03,2023-06-03
6,19.08,Fast shipping,56.68,4,37.6,9,32,8 Luster Place,2023-06-26,2023-06-26
7,22.4,The product is a confidence-booster,45.85,4,23.45,12,24,580 Montana Parkway,2023-01-23,2023-01-23
8,19.16,The product is a conversation-starter,30.22,3,11.06,15,44,222 Linden Street,2023-04-21,2023-04-21
9,15.01,The product is perfect for my needs,48.41,2,33.4,12,79,25283 Portage Street,2023-11-22,2023-11-22
10,16.43,The product is a confidence-booster,46.43,3,30.0,14,72,05124 Heath Way,2023-04-24,2023-04-24
11,14.04,The product is not durable,53.0,3,38.96,11,10,27 Caliangt Drive,2023-07-01,2023-07-01
12,16.35,order a size up,43.23,2,26.88,10,76,0972 Warbler Center,2023-08-18,2023-08-18
13,26.22,Very disappointed with this purchase,51.71,3,25.49,14,51,082 Hudson Point,2023-01-15,2023-01-15
14,17.85,The product is a crowd-pleaser,38.34,1,20.49,15,45,95268 Hermina Street,2023-09-18,2023-09-18
15,12.26,Fast shipping,33.31,2,21.05,14,66,083 Prairie Rose Park,2023-04-08,2023-04-08
16,12.09,The product is a game-changer,55.66,2,43.57,8,43,62 Pleasure Street,2023-01-23,2023-01-23
17,25.13,The product is a great value for the price,54.04,2,28.91,10,89,166 Londonderry Place,2023-04-17,2023-04-17
18,28.37,Very disappointed with this purchase,43.1,1,14.73,9,92,631 Goodland Place,2023-08-15,2023-08-15
19,25.84,The product is versatile and can be used in many ways,52.63,5,26.79,12,75,1784 Kropf Way,2023-04-01,2023-04-01
20,19.12,The product is a great gift idea,44.32,3,25.2,14,98,621 Stang Pass,2023-10-25,2023-10-25
21,10.39,The product is a must-have for every home,53.69,3,43.3,12,60,69109 Golf View Center,2023-09-21,2023-09-21
22,23.56,The product is a game-changer,43.1,4,19.54,14,85,13372 Charing Cross Center,2023-05-04,2023-05-04
23,29.71,The product is not durable,53.6,2,23.89,12,57,296 Clove Place,2023-01-19,2023-01-19
24,11.99,great service,45.72,4,33.73,8,14,2 Manitowish Center,2023-11-07,2023-11-07
25,29.05,great service,44.94,1,15.89,13,27,40045 Hooker Trail,2023-11-06,2023-11-06
26,11.02,The product is a space-saver,45.84,5,34.82,11,86,654 Glendale Place,2023-06-20,2023-06-20
27,20.08,Excellent customer service,44.69,4,24.61,16,61,003 Rockefeller Alley,2023-03-12,2023-03-12
28,19.55,This product is amazing!,55.85,2,36.3,10,2,01964 Morrow Lane,2023-01-11,2023-01-11
29,18.57,The product is a lifesaver,57.61,5,39.04,16,38,14346 David Hill,2023-10-28,2023-10-28
30,20.1,The product is a must-have for every home,56.53,1,36.43,10,87,17 Hermina Pass,2023-01-30,2023-01-30
31,18.12,The price is too high for the quality,51.0,4,32.88,15,95,0826 Acker Pass,2023-11-02,2023-11-02
32,25.14,order a size up,57.4,3,32.26,15,67,84092 Onsgard Court,2023-09-12,2023-09-12
33,15.41,great service,30.77,3,15.36,14,9,28197 Eastlawn Park,2023-07-25,2023-07-25
34,16.47,The product is a great value for the price,31.89,3,15.42,14,47,1 Bayside Hill,2023-09-27,2023-09-27
35,23.75,The product is a crowd-pleaser,41.72,3,17.97,12,27,51 Prairie Rose Circle,2023-11-16,2023-11-16
36,21.8,The product is lightweight and easy to carry,50.12,3,28.32,9,52,81388 Golf View Place,2023-04-29,2023-04-29
37,15.19,The size runs small,49.42,4,34.23,11,16,33 Waywood Junction,2023-10-17,2023-10-17
38,18.54,The packaging was damaged,59.24,3,40.7,15,35,1318 Esch Court,2023-02-26,2023-02-26
39,25.13,The product is a lifesaver,36.76,4,11.63,16,93,14331 Anzinger Point,2023-07-03,2023-07-03
40,14.07,The product is versatile and can be used in many ways,59.1,1,45.03,11,88,4 Annamark Crossing,2023-07-05,2023-07-05
41,20.83,Great quality,43.19,1,22.36,16,85,60511 Jenifer Circle,2023-02-22,2023-02-22
42,26.54,The price is too high for the quality,30.71,4,4.17,13,84,66 Warner Park,2023-01-23,2023-01-23
43,10.33,The size runs small,53.2,3,42.87,15,55,999 La Follette Plaza,2023-08-10,2023-08-10
44,18.56,The product is a mood-booster,54.88,1,36.32,12,96,1 Mallory Trail,2023-01-11,2023-01-11
45,18.43,The product is a party-starter,56.78,5,38.35,13,26,735 Dawn Parkway,2023-08-28,2023-08-28
46,24.85,Would recommend to friends and family,36.25,5,11.4,13,10,1 Melvin Pass,2023-02-10,2023-02-10
47,20.76,The product exceeded my expectations,30.41,5,9.65,9,82,6226 Hauk Center,2023-03-15,2023-03-15
48,17.81,The product is stylish and trendy,32.91,4,15.1,8,29,5 Jenna Point,2023-08-03,2023-08-03
49,11.38,The product is easy to use,52.55,4,41.17,9,39,8 Clove Parkway,2023-07-11,2023-07-11
50,20.46,The product is a game-changer,41.06,5,20.6,8,45,857 Jackson Street,2023-03-08,2023-03-08
51,28.2,Great quality,54.44,5,26.24,10,99,82 Eagan Alley,2023-06-28,2023-06-28
52,29.35,The product is a must-have for every home,37.26,2,7.91,13,28,92164 Cherokee Drive,2023-12-17,2023-12-17
53,29.89,The product is versatile and can be used in many ways,37.38,4,7.49,13,5,495 Graedel Pass,2023-12-30,2023-12-30
54,10.64,The product is a show-stopper,53.56,3,42.92,9,36,900 Arkansas Trail,2023-09-17,2023-09-17
55,15.81,The product is not durable,50.09,4,34.28,14,90,54 Sunfield Street,2023-02-04,2023-02-04
56,25.53,The product is a show-stopper,32.24,2,6.71,12,18,55 La Follette Road,2023-06-05,2023-06-05
57,14.63,Fast shipping,35.34,4,20.71,12,50,99 Morrow Park,2023-04-01,2023-04-01
58,28.07,The price is too high for the quality,36.81,2,8.74,16,79,8683 Corscot Way,2023-02-06,2023-02-06
59,12.09,Will definitely buy again,59.15,1,47.06,9,20,09 Eliot Place,2023-08-18,2023-08-18
60,24.84,The material is very soft and comfortable,39.33,5,14.49,10,49,8 Wayridge Plaza,2023-06-29,2023-06-29
61,20.35,This product is amazing!,55.96,3,35.61,13,40,4 Barnett Crossing,2023-09-01,2023-09-01
62,20.92,I love this product so much,31.0,2,10.08,16,38,8149 Myrtle Crossing,2023-07-09,2023-07-09
63,10.69,Very satisfied with my purchase,45.58,1,34.89,13,22,7 Delaware Center,2023-11-02,2023-11-02
64,13.42,Would recommend to friends and family,38.94,3,25.52,11,23,6279 Eagan Terrace,2023-07-28,2023-07-28
65,28.74,The material is very soft and comfortable,38.54,3,9.8,11,5,624 Dunning Way,2023-02-14,2023-02-14
66,21.62,The product is a party-starter,46.64,4,25.02,11,13,0852 Basil Place,2023-04-07,2023-04-07
67,15.15,Product arrived earlier than expected,38.0,4,22.85,13,75,75958 Maywood Park,2023-09-16,2023-09-16
68,29.91,The product is a stress-reliever,56.1,3,26.19,8,6,709 Del Sol Plaza,2023-06-24,2023-06-24
69,21.09,Fast shipping,36.06,4,14.97,15,29,9 Graceland Trail,2023-03-08,2023-03-08
70,23.56,The product is a show-stopper,38.08,2,14.52,8,74,7 Marquette Hill,2023-03-14,2023-03-14
71,26.08,order a size up,45.12,5,19.04,10,30,9 Dryden Parkway,2023-11-11,2023-11-11
